game_id,game_date,quarter,time,play_description,home_score,away_score,team,player
cy9e2nxmf95w,2025-01-18,Q1,,Timeout,0,0,,
cy9e2nxmf95w,2025-01-18,Q1,7:00,Jumpball (Phantom gains possesion),0,0,Phantom,
cy9e2nxmf95w,2025-01-18,Q1,6:50,Brittney Griner misses two point shot,0,0,Phantom,Brittney Griner
cy9e2nxmf95w,2025-01-18,Q1,6:48,Alyssa Thomas defensive rebound,0,0,Laces,Alyssa Thomas
cy9e2nxmf95w,2025-01-18,Q1,6:37,Kayla McBride makes three point shot,3,0,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,6:23,Satou Sabally misses two point shot,3,0,Phantom,Satou Sabally
cy9e2nxmf95w,2025-01-18,Q1,6:21,Kayla McBride defensive rebound,3,0,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,6:15,Kayla McBride makes three point shot,6,0,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,6:15,Stefanie Dolson assist,6,0,Laces,Stefanie Dolson
cy9e2nxmf95w,2025-01-18,Q1,6:08,Sabrina Ionescu makes three point shot,6,3,Phantom,Sabrina Ionescu
cy9e2nxmf95w,2025-01-18,Q1,5:55,Kayla McBride misses three point shot,6,3,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,5:54,Sabrina Ionescu defensive rebound,6,3,Phantom,Sabrina Ionescu
cy9e2nxmf95w,2025-01-18,Q1,5:44,Satou Sabally  lost ball turnover,6,3,Phantom,Satou Sabally  lost ball
cy9e2nxmf95w,2025-01-18,Q1,5:40,Kayla McBride  bad pass turnover,6,3,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,5:25,Satou Sabally misses two point shot,6,3,Phantom,Satou Sabally
cy9e2nxmf95w,2025-01-18,Q1,5:24,Alyssa Thomas defensive rebound,6,3,Laces,Alyssa Thomas
cy9e2nxmf95w,2025-01-18,Q1,5:19,Alyssa Thomas misses two point shot,6,3,Laces,Alyssa Thomas
cy9e2nxmf95w,2025-01-18,Q1,5:18,Kayla McBride offensive rebound,6,3,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,5:08,Alyssa Thomas  bad pass turnover,6,3,Laces,Alyssa Thomas
cy9e2nxmf95w,2025-01-18,Q1,4:52,Brittney Griner  lost ball turnover,6,3,Phantom,Brittney Griner  lost ball
cy9e2nxmf95w,2025-01-18,Q1,4:45,Kayla McBride misses two point shot,6,3,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,4:43,Satou Sabally defensive rebound,6,3,Phantom,Satou Sabally
cy9e2nxmf95w,2025-01-18,Q1,4:36,Sabrina Ionescu misses two point shot,6,3,Phantom,Sabrina Ionescu
cy9e2nxmf95w,2025-01-18,Q1,4:34,Stefanie Dolson defensive rebound,6,3,Laces,Stefanie Dolson
cy9e2nxmf95w,2025-01-18,Q1,4:27,Kayla McBride assist,6,3,Laces,Kayla McBride
cy9e2nxmf95w,2025-01-18,Q1,4:27,Stefanie Dolson makes three point shot,9,3,Laces,Stefanie Dolson
